Path,Filename,Rows,Dates,Min_DateTime,Max_DateTime,Has_ETA_Data,Columns
.venv/lib/python3.12/site-packages/numpy/random/tests/data/sfc64-testset-2.csv,sfc64-testset-2.csv,1000,,,,No,seed;  0x0
.venv/lib/python3.12/site-packages/tornado/test/csv_translations/fr_FR.csv,fr_FR.csv,0,,,,No,school; école
Newdata/all_monitoring_data.csv,all_monitoring_data.csv,28978,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T09:15:35+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/interstop_peak_vs_offpeak.csv,interstop_peak_vs_offpeak.csv,4,,,,Yes,route; peak_or_offpeak; samples; travel_mean_sec; travel_median_sec; travel_min_sec; travel_max_sec
Newdata/interstop_peak_vs_offpeak_4days.csv,interstop_peak_vs_offpeak_4days.csv,3,,,,Yes,route; peak_or_offpeak; samples; travel_mean_sec; travel_median_sec; travel_min_sec; travel_max_sec
Newdata/monitor_hour_01_20251124_004707.csv,monitor_hour_01_20251124_004707.csv,1026,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T00:36:21+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/monitor_hour_02_20251124_014725.csv,monitor_hour_02_20251124_014725.csv,1026,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T00:36:21+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/monitor_hour_03_20251124_024744.csv,monitor_hour_03_20251124_024744.csv,1026,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T00:36:21+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/monitor_hour_04_20251124_034804.csv,monitor_hour_04_20251124_034804.csv,1026,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T00:36:21+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/monitor_hour_05_20251124_044824.csv,monitor_hour_05_20251124_044824.csv,1290,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T05:25:58+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/monitor_hour_06_20251124_054845.csv,monitor_hour_06_20251124_054845.csv,2919,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T06:31:24+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
Newdata/monitor_hour_07_20251124_064850.csv,monitor_hour_07_20251124_064850.csv,4610,2025-11-23; 2025-11-24,2025-11-23T23:46:03+08:00,2025-11-24T07:26:17+08:00,Yes,snapshot_ts; queried_stop_id; route; direction; eta; eta_seq; data_timestamp
